date,hour,resource_name,resource_type,energy_mw,lmp_dam,lmp_rtm,spread,pnl
2026-07-10,21,OTTAWA_BID:HUB,LD,-1.0,97.58,58.78666666666667,38.79333333333333,-38.79333333333333
2026-07-10,23,OTTAWA_BID:HUB,LD,-1.0,69.74,80.8975,-11.157499999999999,11.157499999999999
2026-07-11,1,OTTAWA_BID:HUB,LD,-1.0,51.27,50.6775,0.5925000000000011,-0.5925000000000011
2026-07-11,10,OTTAWA_BID:HUB,LD,-1.0,52.36,111.36,-59.0,59.0
2026-07-11,11,OTTAWA_BID:HUB,LD,-1.0,57.54,81.80499999999999,-24.264999999999993,24.264999999999993
2026-07-11,12,OTTAWA_BID:HUB,LD,-1.0,63.76,84.82916666666667,-21.069166666666668,21.069166666666668
2026-07-11,19,OTTAWA_BID:HUB,LD,-1.0,93.21,60.98500000000001,32.22499999999999,-32.22499999999999
2026-07-11,23,OTTAWA_BID:HUB,LD,-1.0,57.07,56.67249999999999,0.39750000000000796,-0.39750000000000796
2026-07-12,1,OTTAWA_BID:HUB,LD,-1.0,40.19,36.26,3.9299999999999997,-3.9299999999999997
2026-07-12,2,OTTAWA_BID:HUB,LD,-1.0,35.71,31.219166666666663,4.490833333333338,-4.490833333333338
2026-07-12,13,OTTAWA_BID:HUB,LD,-1.0,60.74,76.92833333333333,-16.188333333333325,16.188333333333325
2026-07-12,17,OTTAWA_BID:HUB,LD,-1.0,91.68,86.70666666666666,4.973333333333343,-4.973333333333343
2026-07-12,18,OTTAWA_BID:HUB,LD,-1.0,102.45,74.26166666666667,28.188333333333333,-28.188333333333333
2026-07-12,24,OTTAWA_BID:HUB,LD,-1.0,45.29,45.09666666666666,0.19333333333334224,-0.19333333333334224
2026-07-13,1,OTTAWA_BID:HUB,LD,-1.0,36.76,40.855,-4.094999999999999,4.094999999999999
2026-07-13,2,OTTAWA_BID:HUB,LD,-1.0,35.23,32.445,2.7849999999999966,-2.7849999999999966
2026-07-13,24,OTTAWA_BID:HUB,LD,-1.0,63.41,44.586666666666666,18.82333333333333,-18.82333333333333
2026-07-14,1,OTTAWA_BID:HUB,LD,-1.0,50.28,30.77416666666667,19.50583333333333,-19.50583333333333
2026-07-14,2,OTTAWA_BID:HUB,LD,-1.0,44.42,26.5675,17.852500000000003,-17.852500000000003
2026-07-14,12,OTTAWA_OFFER:HUB,GEN,0.0,130.61,52.58583333333333,78.02416666666667,0.0
2026-07-14,24,OTTAWA_BID:HUB,LD,-1.0,85.37,74.24666666666667,11.123333333333335,-11.123333333333335
2026-07-15,12,OTTAWA_OFFER:HUB,GEN,1.0,184.62,70.47916666666667,114.14083333333333,114.14083333333333
2026-07-15,17,OTTAWA_BID:HUB,LD,0.0,173.72,28.19333333333333,145.52666666666667,0.0
